序号,系统,25/26,责任人,一级功能,二级功能,三级功能,四级功能,类型,修改说明,评估说明,FTR,RET,DET,复杂度,UFP,复用度,调整因子,应用系数,FP,FP*应用系数,FTR明细,RET明细,DET明细（除启动触发器）,备注,,备注,"说明：
一、对于EI、EO、EQ
1、FTR如有多个，用中文顿号隔开
2、DET每行对应一个FTR，有多少个FTR则有多少行DET。对于每一行DET，用竖线|分割输入DET和输出DET，用顿号隔开多个DET。不同FTR用回车分开。
逻辑文件1{输入1、输入2|输出1、输出2}
逻辑文件2{|输出3、输出4}
逻辑文件3{输入3|}
例如：用户角色查询
FTR明细：
用户信息、角色信息
DET明细：
用户信息{用户名|用户名、密码、姓名、电话号码}
角色信息{|角色名称、角色权限}
二、如使用估算法，在DET列填写“估算法”
三、后评估如缺少FTR或DET信息导致无法据实评估的，复杂度均为低，在DET列填写“估算”",评估方法：
=ROW()-1,,2025,张明峰,,,,漏洞指纹动态属性表,ILF,删除,数据库表未被本系统所维护,"=IF(OR(X161=""估算法"",X161=""算法类"",X161=""无法识别""),"""",IF(V161="""",IF(OR(I161=""EI"",I161=""EO"",I161=""EQ""),0,""""),LEN(V161)-LEN(SUBSTITUTE(V161,""、"",""""))+1))","=IF(OR(X161=""估算法"",X161=""算法类"",X161=""无法识别""),"""",IF(W161="""",IF(OR(I161=""ILF"",I161=""EIF""),0,""""),LEN(W161)-LEN(SUBSTITUTE(W161,""、"",""""))+1))","=IF(OR(X161=""估算法"",X161=""算法类"",X161=""无法识别""),"""",IF(X161="""",IF(OR(I161=""ILF"",I161=""EIF"",I161=""EI"",I161=""EO"",I161=""EQ""),0,""""),LEN(X161)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X161,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I161=""EI"",I161=""EO"",I161=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I161=""EI"",IF(OR(X161=""估算法"",X161=""算法类""),""中"",IF(X161=""无法识别"",""低"",IF(L161<2,IF(N161<16,""低"",""中""),IF(L161<3,IF(N161<5,""低"",IF(N161<16,""中"",""高"")),IF(N161<5,""中"",""高""))))),IF(OR(I161=""EO"",I161=""EQ""),IF(OR(X161=""估算法"",X161=""算法类""),""中"",IF(X161=""无法识别"",""低"",IF(L161<2,IF(N161<20,""低"",""中""),IF(L161<4,IF(N161<6,""低"",IF(N161<20,""中"",""高"")),IF(N161<6,""中"",""高""))))),IF(OR(I161=""ILF"",I161=""EIF""),IF(OR(X161=""估算法"",X161=""算法类"",X161=""无法识别""),""低"",IF(M161<2,IF(N161<51,""低"",""中""),IF(M161<6,IF(N161<20,""低"",IF(N161<51,""中"",""高"")),IF(N161<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I161=""EI"",IF(O161=""低"",3,IF(O161=""中"",4,6)),IF(I161=""EO"",IF(O161=""低"",4,IF(O161=""中"",5,7)),IF(I161=""EQ"",IF(O161=""低"",3,IF(O161=""中"",4,6)),IF(I161=""ILF"",IF(O161=""低"",7,IF(O161=""中"",10,15)),IF(I161=""EIF"",IF(O161=""低"",5,IF(O161=""中"",7,10)),""不计算"")))))*Q161,""不计算"")",0,=调整因子!$F$13,1,"=IFERROR(P161*R161,0)",=T161*S161,,漏洞指纹动态属性表,漏洞指纹动态属性表{属性ID、指纹ID、属性名称、值、更新时间},"=IF(COUNTIFS(V:V,""*""&H161&""*"")>0,""存在"",""不存在"")","=IF(COUNTIFS(AA:AA,""*""&H161&""*"")>0,""存在"",""不存在"")",等效防护设备规划、等效防护设备规划历史记录表,,
=ROW()-1,,2025,张明峰,,,,漏洞指纹信息表,ILF,删除,数据库表未被本系统所维护,"=IF(OR(X162=""估算法"",X162=""算法类"",X162=""无法识别""),"""",IF(V162="""",IF(OR(I162=""EI"",I162=""EO"",I162=""EQ""),0,""""),LEN(V162)-LEN(SUBSTITUTE(V162,""、"",""""))+1))","=IF(OR(X162=""估算法"",X162=""算法类"",X162=""无法识别""),"""",IF(W162="""",IF(OR(I162=""ILF"",I162=""EIF""),0,""""),LEN(W162)-LEN(SUBSTITUTE(W162,""、"",""""))+1))","=IF(OR(X162=""估算法"",X162=""算法类"",X162=""无法识别""),"""",IF(X162="""",IF(OR(I162=""ILF"",I162=""EIF"",I162=""EI"",I162=""EO"",I162=""EQ""),0,""""),LEN(X162)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X162,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I162=""EI"",I162=""EO"",I162=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I162=""EI"",IF(OR(X162=""估算法"",X162=""算法类""),""中"",IF(X162=""无法识别"",""低"",IF(L162<2,IF(N162<16,""低"",""中""),IF(L162<3,IF(N162<5,""低"",IF(N162<16,""中"",""高"")),IF(N162<5,""中"",""高""))))),IF(OR(I162=""EO"",I162=""EQ""),IF(OR(X162=""估算法"",X162=""算法类""),""中"",IF(X162=""无法识别"",""低"",IF(L162<2,IF(N162<20,""低"",""中""),IF(L162<4,IF(N162<6,""低"",IF(N162<20,""中"",""高"")),IF(N162<6,""中"",""高""))))),IF(OR(I162=""ILF"",I162=""EIF""),IF(OR(X162=""估算法"",X162=""算法类"",X162=""无法识别""),""低"",IF(M162<2,IF(N162<51,""低"",""中""),IF(M162<6,IF(N162<20,""低"",IF(N162<51,""中"",""高"")),IF(N162<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I162=""EI"",IF(O162=""低"",3,IF(O162=""中"",4,6)),IF(I162=""EO"",IF(O162=""低"",4,IF(O162=""中"",5,7)),IF(I162=""EQ"",IF(O162=""低"",3,IF(O162=""中"",4,6)),IF(I162=""ILF"",IF(O162=""低"",7,IF(O162=""中"",10,15)),IF(I162=""EIF"",IF(O162=""低"",5,IF(O162=""中"",7,10)),""不计算"")))))*Q162,""不计算"")",0,=调整因子!$F$13,1,"=IFERROR(P162*R162,0)",=T162*S162,,漏洞指纹信息表,漏洞指纹信息表{指纹ID、漏洞ID、资产ID、详细信息、创建时间},"=IF(COUNTIFS(V:V,""*""&H162&""*"")>0,""存在"",""不存在"")","=IF(COUNTIFS(AA:AA,""*""&H162&""*"")>0,""存在"",""不存在"")",任务分配策略表,,
=ROW()-1,,2025,张明峰,,,,漏洞指纹数据仓库表,ILF,删除,数据库表未被本系统所维护,"=IF(OR(X163=""估算法"",X163=""算法类"",X163=""无法识别""),"""",IF(V163="""",IF(OR(I163=""EI"",I163=""EO"",I163=""EQ""),0,""""),LEN(V163)-LEN(SUBSTITUTE(V163,""、"",""""))+1))","=IF(OR(X163=""估算法"",X163=""算法类"",X163=""无法识别""),"""",IF(W163="""",IF(OR(I163=""ILF"",I163=""EIF""),0,""""),LEN(W163)-LEN(SUBSTITUTE(W163,""、"",""""))+1))","=IF(OR(X163=""估算法"",X163=""算法类"",X163=""无法识别""),"""",IF(X163="""",IF(OR(I163=""ILF"",I163=""EIF"",I163=""EI"",I163=""EO"",I163=""EQ""),0,""""),LEN(X163)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X163,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I163=""EI"",I163=""EO"",I163=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I163=""EI"",IF(OR(X163=""估算法"",X163=""算法类""),""中"",IF(X163=""无法识别"",""低"",IF(L163<2,IF(N163<16,""低"",""中""),IF(L163<3,IF(N163<5,""低"",IF(N163<16,""中"",""高"")),IF(N163<5,""中"",""高""))))),IF(OR(I163=""EO"",I163=""EQ""),IF(OR(X163=""估算法"",X163=""算法类""),""中"",IF(X163=""无法识别"",""低"",IF(L163<2,IF(N163<20,""低"",""中""),IF(L163<4,IF(N163<6,""低"",IF(N163<20,""中"",""高"")),IF(N163<6,""中"",""高""))))),IF(OR(I163=""ILF"",I163=""EIF""),IF(OR(X163=""估算法"",X163=""算法类"",X163=""无法识别""),""低"",IF(M163<2,IF(N163<51,""低"",""中""),IF(M163<6,IF(N163<20,""低"",IF(N163<51,""中"",""高"")),IF(N163<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I163=""EI"",IF(O163=""低"",3,IF(O163=""中"",4,6)),IF(I163=""EO"",IF(O163=""低"",4,IF(O163=""中"",5,7)),IF(I163=""EQ"",IF(O163=""低"",3,IF(O163=""中"",4,6)),IF(I163=""ILF"",IF(O163=""低"",7,IF(O163=""中"",10,15)),IF(I163=""EIF"",IF(O163=""低"",5,IF(O163=""中"",7,10)),""不计算"")))))*Q163,""不计算"")",0,=调整因子!$F$13,1,"=IFERROR(P163*R163,0)",=T163*S163,,漏洞指纹数据仓库表,漏洞指纹数据仓库表{数据ID、指纹ID、数据内容、存储位置、创建时间},"=IF(COUNTIFS(V:V,""*""&H163&""*"")>0,""存在"",""不存在"")","=IF(COUNTIFS(AA:AA,""*""&H163&""*"")>0,""存在"",""不存在"")",任务分配策略表,,
,,2025,张明峰,漏洞概念验证全生命周期管理,漏洞概念验证全生命周期管理,插件模板管理,添加插件版本,EI,新增,,,,,,,,,,,,插件版本管理表、插件基本信息表,,插件版本管理表{插件编号、版本号、发布说明、发布时间|版本编号、插件编号、版本号、发布说明、发布时间}、插件基本信息表{插件编号|插件编号、插件名称、版本、更新时间},,,,,
,,2025,张明峰,,,,编辑插件版本,EI,新增,,,,,,,,,,,,插件版本管理表,,插件版本管理表{版本编号、版本号、发布说明、发布时间|版本编号、插件编号、版本号、发布说明、发布时间},,,,,
,,2025,张明峰,,,,删除插件版本,EI,新增,,,,,,,,,,,,插件版本管理表,,插件版本管理表{版本编号|版本编号、插件编号},,,,,
,,2025,张明峰,,,,查询插件版本,EQ,新增,,,,,,,,,,,,插件版本管理表、插件基本信息表,,插件版本管理表{插件编号、版本号|版本编号、插件编号、版本号、发布说明、发布时间}、插件基本信息表{插件编号、插件名称|插件编号、插件名称、编码、状态},,,,,
=ROW()-1,,2025,张明峰,,,,添加插件规范模板,EI,,,"=IF(OR(X188=""估算法"",X188=""算法类"",X188=""无法识别""),"""",IF(V188="""",IF(OR(I188=""EI"",I188=""EO"",I188=""EQ""),0,""""),LEN(V188)-LEN(SUBSTITUTE(V188,""、"",""""))+1))","=IF(OR(X188=""估算法"",X188=""算法类"",X188=""无法识别""),"""",IF(W188="""",IF(OR(I188=""ILF"",I188=""EIF""),0,""""),LEN(W188)-LEN(SUBSTITUTE(W188,""、"",""""))+1))","=IF(OR(X188=""估算法"",X188=""算法类"",X188=""无法识别""),"""",IF(X188="""",IF(OR(I188=""ILF"",I188=""EIF"",I188=""EI"",I188=""EO"",I188=""EQ""),0,""""),LEN(X188)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X188,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I188=""EI"",I188=""EO"",I188=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I188=""EI"",IF(OR(X188=""估算法"",X188=""算法类""),""中"",IF(X188=""无法识别"",""低"",IF(L188<2,IF(N188<16,""低"",""中""),IF(L188<3,IF(N188<5,""低"",IF(N188<16,""中"",""高"")),IF(N188<5,""中"",""高""))))),IF(OR(I188=""EO"",I188=""EQ""),IF(OR(X188=""估算法"",X188=""算法类""),""中"",IF(X188=""无法识别"",""低"",IF(L188<2,IF(N188<20,""低"",""中""),IF(L188<4,IF(N188<6,""低"",IF(N188<20,""中"",""高"")),IF(N188<6,""中"",""高""))))),IF(OR(I188=""ILF"",I188=""EIF""),IF(OR(X188=""估算法"",X188=""算法类"",X188=""无法识别""),""低"",IF(M188<2,IF(N188<51,""低"",""中""),IF(M188<6,IF(N188<20,""低"",IF(N188<51,""中"",""高"")),IF(N188<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I188=""EI"",IF(O188=""低"",3,IF(O188=""中"",4,6)),IF(I188=""EO"",IF(O188=""低"",4,IF(O188=""中"",5,7)),IF(I188=""EQ"",IF(O188=""低"",3,IF(O188=""中"",4,6)),IF(I188=""ILF"",IF(O188=""低"",7,IF(O188=""中"",10,15)),IF(I188=""EIF"",IF(O188=""低"",5,IF(O188=""中"",7,10)),""不计算"")))))*Q188,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P188*R188,0)",=T188*S188,插件模板表、插件规范表、插件审计表,,插件模板表{模板ID、模板名称、模板内容、创建时间、状态}、插件规范表{规范ID、规范名称、规范版本、规范内容、创建时间}、插件审计表{审计ID、插件ID、审计内容、审计时间},,,推送规则表、提醒规则表、脱敏规则表、加密规则表、提醒规则表,,
=ROW()-1,,2025,张明峰,,,,编辑插件规范模板内容,EI,,,"=IF(OR(X189=""估算法"",X189=""算法类"",X189=""无法识别""),"""",IF(V189="""",IF(OR(I189=""EI"",I189=""EO"",I189=""EQ""),0,""""),LEN(V189)-LEN(SUBSTITUTE(V189,""、"",""""))+1))","=IF(OR(X189=""估算法"",X189=""算法类"",X189=""无法识别""),"""",IF(W189="""",IF(OR(I189=""ILF"",I189=""EIF""),0,""""),LEN(W189)-LEN(SUBSTITUTE(W189,""、"",""""))+1))","=IF(OR(X189=""估算法"",X189=""算法类"",X189=""无法识别""),"""",IF(X189="""",IF(OR(I189=""ILF"",I189=""EIF"",I189=""EI"",I189=""EO"",I189=""EQ""),0,""""),LEN(X189)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X189,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I189=""EI"",I189=""EO"",I189=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I189=""EI"",IF(OR(X189=""估算法"",X189=""算法类""),""中"",IF(X189=""无法识别"",""低"",IF(L189<2,IF(N189<16,""低"",""中""),IF(L189<3,IF(N189<5,""低"",IF(N189<16,""中"",""高"")),IF(N189<5,""中"",""高""))))),IF(OR(I189=""EO"",I189=""EQ""),IF(OR(X189=""估算法"",X189=""算法类""),""中"",IF(X189=""无法识别"",""低"",IF(L189<2,IF(N189<20,""低"",""中""),IF(L189<4,IF(N189<6,""低"",IF(N189<20,""中"",""高"")),IF(N189<6,""中"",""高""))))),IF(OR(I189=""ILF"",I189=""EIF""),IF(OR(X189=""估算法"",X189=""算法类"",X189=""无法识别""),""低"",IF(M189<2,IF(N189<51,""低"",""中""),IF(M189<6,IF(N189<20,""低"",IF(N189<51,""中"",""高"")),IF(N189<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I189=""EI"",IF(O189=""低"",3,IF(O189=""中"",4,6)),IF(I189=""EO"",IF(O189=""低"",4,IF(O189=""中"",5,7)),IF(I189=""EQ"",IF(O189=""低"",3,IF(O189=""中"",4,6)),IF(I189=""ILF"",IF(O189=""低"",7,IF(O189=""中"",10,15)),IF(I189=""EIF"",IF(O189=""低"",5,IF(O189=""中"",7,10)),""不计算"")))))*Q189,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P189*R189,0)",=T189*S189,插件规范表、插件模板表、插件审计表,,插件规范表{规范ID、规范名称、规范版本、规范内容、创建时间}、插件模板表{模板ID、模板名称、模板内容、创建时间、状态}、插件审计表{审计ID、插件ID、审计内容、审计时间},,,推送规则表、提醒规则表、脱敏规则表、加密规则表、标签分类表,,
=ROW()-1,,2025,张明峰,,,,插件规范模板标记已过时,EI,,,"=IF(OR(X190=""估算法"",X190=""算法类"",X190=""无法识别""),"""",IF(V190="""",IF(OR(I190=""EI"",I190=""EO"",I190=""EQ""),0,""""),LEN(V190)-LEN(SUBSTITUTE(V190,""、"",""""))+1))","=IF(OR(X190=""估算法"",X190=""算法类"",X190=""无法识别""),"""",IF(W190="""",IF(OR(I190=""ILF"",I190=""EIF""),0,""""),LEN(W190)-LEN(SUBSTITUTE(W190,""、"",""""))+1))","=IF(OR(X190=""估算法"",X190=""算法类"",X190=""无法识别""),"""",IF(X190="""",IF(OR(I190=""ILF"",I190=""EIF"",I190=""EI"",I190=""EO"",I190=""EQ""),0,""""),LEN(X190)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X190,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I190=""EI"",I190=""EO"",I190=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I190=""EI"",IF(OR(X190=""估算法"",X190=""算法类""),""中"",IF(X190=""无法识别"",""低"",IF(L190<2,IF(N190<16,""低"",""中""),IF(L190<3,IF(N190<5,""低"",IF(N190<16,""中"",""高"")),IF(N190<5,""中"",""高""))))),IF(OR(I190=""EO"",I190=""EQ""),IF(OR(X190=""估算法"",X190=""算法类""),""中"",IF(X190=""无法识别"",""低"",IF(L190<2,IF(N190<20,""低"",""中""),IF(L190<4,IF(N190<6,""低"",IF(N190<20,""中"",""高"")),IF(N190<6,""中"",""高""))))),IF(OR(I190=""ILF"",I190=""EIF""),IF(OR(X190=""估算法"",X190=""算法类"",X190=""无法识别""),""低"",IF(M190<2,IF(N190<51,""低"",""中""),IF(M190<6,IF(N190<20,""低"",IF(N190<51,""中"",""高"")),IF(N190<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I190=""EI"",IF(O190=""低"",3,IF(O190=""中"",4,6)),IF(I190=""EO"",IF(O190=""低"",4,IF(O190=""中"",5,7)),IF(I190=""EQ"",IF(O190=""低"",3,IF(O190=""中"",4,6)),IF(I190=""ILF"",IF(O190=""低"",7,IF(O190=""中"",10,15)),IF(I190=""EIF"",IF(O190=""低"",5,IF(O190=""中"",7,10)),""不计算"")))))*Q190,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P190*R190,0)",=T190*S190,插件模板表,,插件模板表{模板ID、状态|板ID、模板名称、模板内容、状态、创建时间},,,数据清洗任务表、资产同步任务表、同步任务调度表、任务统计数据表、任务趋势分析表,,
=ROW()-1,,2025,张明峰,,,,插件规范模板标记删除,EI,,,"=IF(OR(X191=""估算法"",X191=""算法类"",X191=""无法识别""),"""",IF(V191="""",IF(OR(I191=""EI"",I191=""EO"",I191=""EQ""),0,""""),LEN(V191)-LEN(SUBSTITUTE(V191,""、"",""""))+1))","=IF(OR(X191=""估算法"",X191=""算法类"",X191=""无法识别""),"""",IF(W191="""",IF(OR(I191=""ILF"",I191=""EIF""),0,""""),LEN(W191)-LEN(SUBSTITUTE(W191,""、"",""""))+1))","=IF(OR(X191=""估算法"",X191=""算法类"",X191=""无法识别""),"""",IF(X191="""",IF(OR(I191=""ILF"",I191=""EIF"",I191=""EI"",I191=""EO"",I191=""EQ""),0,""""),LEN(X191)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X191,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I191=""EI"",I191=""EO"",I191=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I191=""EI"",IF(OR(X191=""估算法"",X191=""算法类""),""中"",IF(X191=""无法识别"",""低"",IF(L191<2,IF(N191<16,""低"",""中""),IF(L191<3,IF(N191<5,""低"",IF(N191<16,""中"",""高"")),IF(N191<5,""中"",""高""))))),IF(OR(I191=""EO"",I191=""EQ""),IF(OR(X191=""估算法"",X191=""算法类""),""中"",IF(X191=""无法识别"",""低"",IF(L191<2,IF(N191<20,""低"",""中""),IF(L191<4,IF(N191<6,""低"",IF(N191<20,""中"",""高"")),IF(N191<6,""中"",""高""))))),IF(OR(I191=""ILF"",I191=""EIF""),IF(OR(X191=""估算法"",X191=""算法类"",X191=""无法识别""),""低"",IF(M191<2,IF(N191<51,""低"",""中""),IF(M191<6,IF(N191<20,""低"",IF(N191<51,""中"",""高"")),IF(N191<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I191=""EI"",IF(O191=""低"",3,IF(O191=""中"",4,6)),IF(I191=""EO"",IF(O191=""低"",4,IF(O191=""中"",5,7)),IF(I191=""EQ"",IF(O191=""低"",3,IF(O191=""中"",4,6)),IF(I191=""ILF"",IF(O191=""低"",7,IF(O191=""中"",10,15)),IF(I191=""EIF"",IF(O191=""低"",5,IF(O191=""中"",7,10)),""不计算"")))))*Q191,""不计算"")",0.333333333333333,=调整因子!$F$13,1,"=IFERROR(P191*R191,0)",=T191*S191,插件模板表,,插件模板表{模板ID、状态|板ID、模板名称、模板内容、状态、创建时间},,,数据清洗任务表、资产同步任务表、同步任务调度表,,
=ROW()-1,,2025,张明峰,,,,导出插件规范模板,EO,,,"=IF(OR(X192=""估算法"",X192=""算法类"",X192=""无法识别""),"""",IF(V192="""",IF(OR(I192=""EI"",I192=""EO"",I192=""EQ""),0,""""),LEN(V192)-LEN(SUBSTITUTE(V192,""、"",""""))+1))","=IF(OR(X192=""估算法"",X192=""算法类"",X192=""无法识别""),"""",IF(W192="""",IF(OR(I192=""ILF"",I192=""EIF""),0,""""),LEN(W192)-LEN(SUBSTITUTE(W192,""、"",""""))+1))","=IF(OR(X192=""估算法"",X192=""算法类"",X192=""无法识别""),"""",IF(X192="""",IF(OR(I192=""ILF"",I192=""EIF"",I192=""EI"",I192=""EO"",I192=""EQ""),0,""""),LEN(X192)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X192,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I192=""EI"",I192=""EO"",I192=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I192=""EI"",IF(OR(X192=""估算法"",X192=""算法类""),""中"",IF(X192=""无法识别"",""低"",IF(L192<2,IF(N192<16,""低"",""中""),IF(L192<3,IF(N192<5,""低"",IF(N192<16,""中"",""高"")),IF(N192<5,""中"",""高""))))),IF(OR(I192=""EO"",I192=""EQ""),IF(OR(X192=""估算法"",X192=""算法类""),""中"",IF(X192=""无法识别"",""低"",IF(L192<2,IF(N192<20,""低"",""中""),IF(L192<4,IF(N192<6,""低"",IF(N192<20,""中"",""高"")),IF(N192<6,""中"",""高""))))),IF(OR(I192=""ILF"",I192=""EIF""),IF(OR(X192=""估算法"",X192=""算法类"",X192=""无法识别""),""低"",IF(M192<2,IF(N192<51,""低"",""中""),IF(M192<6,IF(N192<20,""低"",IF(N192<51,""中"",""高"")),IF(N192<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I192=""EI"",IF(O192=""低"",3,IF(O192=""中"",4,6)),IF(I192=""EO"",IF(O192=""低"",4,IF(O192=""中"",5,7)),IF(I192=""EQ"",IF(O192=""低"",3,IF(O192=""中"",4,6)),IF(I192=""ILF"",IF(O192=""低"",7,IF(O192=""中"",10,15)),IF(I192=""EIF"",IF(O192=""低"",5,IF(O192=""中"",7,10)),""不计算"")))))*Q192,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P192*R192,0)",=T192*S192,插件规范表、插件模板表,,插件规范表{规范ID、规范名称、规范版本、规范内容、创建时间}、插件模板表{模板ID、模板名称、模板内容、创建时间、状态},,,审计日志表、漏洞处置推送接口配置表、提醒规则表、扫描策略模板表,,
,,2025,张明峰,,,,查询插件规范模板信息,EQ,新增,,,,,,,,,,,,插件模板表、插件规范表,,插件模板表{模板名称、状态|模板编号、模板名称、模板内容、创建时间、状态}、插件规范表{规范名称、规范版本|规范编号、规范名称、规范版本、规范内容、创建时间},,,,,
=ROW()-1,,2025,张明峰,,,,查询插件规范模板详情,EO,修改名称：「查询规范模板日志审计」,,"=IF(OR(X194=""估算法"",X194=""算法类"",X194=""无法识别""),"""",IF(V194="""",IF(OR(I194=""EI"",I194=""EO"",I194=""EQ""),0,""""),LEN(V194)-LEN(SUBSTITUTE(V194,""、"",""""))+1))","=IF(OR(X194=""估算法"",X194=""算法类"",X194=""无法识别""),"""",IF(W194="""",IF(OR(I194=""ILF"",I194=""EIF""),0,""""),LEN(W194)-LEN(SUBSTITUTE(W194,""、"",""""))+1))","=IF(OR(X194=""估算法"",X194=""算法类"",X194=""无法识别""),"""",IF(X194="""",IF(OR(I194=""ILF"",I194=""EIF"",I194=""EI"",I194=""EO"",I194=""EQ""),0,""""),LEN(X194)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X194,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I194=""EI"",I194=""EO"",I194=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I194=""EI"",IF(OR(X194=""估算法"",X194=""算法类""),""中"",IF(X194=""无法识别"",""低"",IF(L194<2,IF(N194<16,""低"",""中""),IF(L194<3,IF(N194<5,""低"",IF(N194<16,""中"",""高"")),IF(N194<5,""中"",""高""))))),IF(OR(I194=""EO"",I194=""EQ""),IF(OR(X194=""估算法"",X194=""算法类""),""中"",IF(X194=""无法识别"",""低"",IF(L194<2,IF(N194<20,""低"",""中""),IF(L194<4,IF(N194<6,""低"",IF(N194<20,""中"",""高"")),IF(N194<6,""中"",""高""))))),IF(OR(I194=""ILF"",I194=""EIF""),IF(OR(X194=""估算法"",X194=""算法类"",X194=""无法识别""),""低"",IF(M194<2,IF(N194<51,""低"",""中""),IF(M194<6,IF(N194<20,""低"",IF(N194<51,""中"",""高"")),IF(N194<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I194=""EI"",IF(O194=""低"",3,IF(O194=""中"",4,6)),IF(I194=""EO"",IF(O194=""低"",4,IF(O194=""中"",5,7)),IF(I194=""EQ"",IF(O194=""低"",3,IF(O194=""中"",4,6)),IF(I194=""ILF"",IF(O194=""低"",7,IF(O194=""中"",10,15)),IF(I194=""EIF"",IF(O194=""低"",5,IF(O194=""中"",7,10)),""不计算"")))))*Q194,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P194*R194,0)",=T194*S194,插件审计表,,插件审计表{审计ID、插件ID、审计内容、审计时间},,,接口参数配置表、任务日志表、提醒规则表、考核指标配置表、漏洞查询接口配置表,,
